smiles,IC50
OCCCNC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,71
COCCNC(=O)C1=NC(C2=NN=C(CC3=CC=C(F)C=C3)O2)=C(O)C4=NC=CC=C14,190
OC1=C(N=C(C(=O)N2CCOCC2)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,130
CN1CCN(CC1)C(=O)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,44
OC1CCN(CC1)C(=O)C2=NC(C3=NN=C(CC4=CC=C(F)C=C4)O3)=C(O)C5=NC=CC=C25,27
OC1=C(N=C(C(=O)N2CCNC(=O)C2)C3=CC=CN=C13)C4=NN=C(CC5=CC=C(F)C=C5)O4,74
CC1=NN=C(O1)C(=O)C(C)(C)C2=NC(C(=O)NCC3=CC=C(F)C=C3)=C(O)C(=O)N2C,67
OC(=O)C(=O)CC(=O)C1=CC(OCC2=CC=CC=C2)=CC(OCC3=CC=CC=C3)=C1,59
OC1=CC=CC=C1CNNC(=O)C2=CC=CC=C2O,700
OC1=C(C=CC2=CC=CN=C12)C(=O)C3=CC=CC(CC4=CC=CC=C4)=C3,370
OC1=C(N=C(NC1=O)C2=CC=CS2)C(=O)NCC3=CC4=CC=CC=C4S3,10
OC1=C(N=C(NC1=O)C2=CC=CS2)C(=O)NCC3=CC=C(Cl)C(Cl)=C3,10
OC1=CC=CC(C(=O)NNC(=O)C2=CC=CC=C2O)=C1O,500
OC(=O)C(=O)CC(=O)C1=CNC2=CC=C(Cl)C=C12,520
CC1=NC2=CC=C(Br)C=C2C(C3=CC=C(Cl)C=C3)=C1C(OC(C)(C)C)C(O)=O,890
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(F)C=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,35
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(F)C=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,36
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC(F)=C4F)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,40
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NC4CCCCC4,33
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)S(=O)(=O)C4=CC=CC5=CC=CC=C45,42
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCCC4,4
CC1=C2CN(CC3=CC=CC(F)=C3)CC2=C(C)C(C4=CC(F)=C5OCCCC5=C4C)=C1C(OC(C)(C)C)C(O)=O,5
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,98
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4CCCCC4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,71
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=NC=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,174
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4CCOCC4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,820
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC5=CC=CC=C45)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,44
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C4CCC(C)(C)CC4,118
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)S(=O)(=O)C4=CC=CC5=CC=CC=C45,62
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(Cl)C=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,75
COC1=CC=C(CN2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C)C=C1,340
CC1=CC=C(CN2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C)C=C1,115
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC=C4F)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,40
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC(F)=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,20
CC1=CNC(CN2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C)=N1,203
COC1=CC=CC(CN2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C)=C1,12
CC(C)CN1CC2=C(C1)C(C)=C(C3=CC=C(C)C=C3)C(C(OC(C)(C)C)C(O)=O)=C2C,946
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(Cl)C(Cl)=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,54
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(C=C4)C(F)(F)F)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,932
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC(=C4)C(F)(F)F)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,94
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC(=C4)C5=CC=CC=C5)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,184
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4CCCCC4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,47
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C4CCCC(C4)C5=CC=CC=C5,203
CC1CCCC(C1)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,723
CC1CCC(CC1)NC(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,616
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NCC4=CC=CC=C4,86
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCC4,12
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)S(=O)(=O)C4CCCCC4,37
CC1CCCC(C1)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,723
CC1=CC=C(C=C1)C2=C(C)C=3CN(CCC4=CC=CC=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,872
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CN=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,50
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(F)C=C4F)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,25
CNC(=O)C1=CC=CC(CN2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C)=C1,937
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC(Cl)=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,43
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=CC(F)=C4C)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,44
COC(=O)N1CC2=C(C1)C(C)=C(C3=CC=C(C)C=C3)C(C(OC(C)(C)C)C(O)=O)=C2C,573
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)S(=O)(=O)C4=CC=C(F)C=C4,100
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)S(=O)(=O)N4CCCCC4,29
CC(C)NS(=O)(=O)N1CC2=C(C1)C(C)=C(C3=CC=C(C)C=C3)C(C(OC(C)(C)C)C(O)=O)=C2C,44
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)S(=O)(=O)N4CCOCC4,18
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC4=CC=C(F)C(F)=C4)CC3C(C)=C2C(OC(C)(C)C)C(O)=O,51
CC1CCC(CC1)NC(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,288
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NCC4=CC=CC=C4,86
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCC4,12
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCOCC4,44
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NCC4CCCCC4,350
CN(C)C(=O)N1CC2=C(C1)C(C)=C(C3=CC=C(C)C=C3)C(C(OC(C)(C)C)C(O)=O)=C2C,279
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCCCCC4,14
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC4,38
COCCN(C)C(=O)N1CC2=C(C1)C(C)=C(C3=CC=C(C)C=C3)C(C(OC(C)(C)C)C(O)=O)=C2C,44
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NC(C)(C)C,15
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCS(=O)(=O)CC4,106
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCCCCC4,10
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCC(F)(F)C4,6
CN(C1CCCCC1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,55
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(F)(F)C4,8
CC1CCCCN1C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,14
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NC4CCC4,34
CN1CCN(CC1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,276
CC1COCCN1C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,16
CC1CN(CC(C)O1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,26
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NCC(C)(C)C,21
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CC5CCC(C4)O5,34
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCOCC4,12
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(O)C4,160
CN(CC1CCCCC1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,126
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NCCOCC4=CC=CC=C4,231
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCN5CCCC5C4,381
CC1CCN(CC1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,16
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CC5CCCC5C4,14
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4C5CCC4CC5,6
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(C)(C)CC4,11
CC(=O)N1CCN(CC1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,120
CC1CCCN1C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,5
CC1CN(C(C)CO1)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,18
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(F)CC4,11
CN1CCN(CC1=O)C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,267
CC1COCCN1C(=O)N2CC3=C(C2)C(C)=C(C4=CC=C(C)C=C4)C(C(OC(C)(C)C)C(O)=O)=C3C,13
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(F)(F)CC4,16
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCCC(C)(C)C4,7
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NCC(F)(F)F,44
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(CC5=CC=CC=C5)CC4,778
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)N4CCC(F)C4,14
CC1=CC=C(C=C1)C2=C(C)C=3CN(CC3C(C)=C2C(OC(C)(C)C)C(O)=O)C(=O)NC(C)(C)C4=CC=CC=C4,144
CC(NC(=O)N1CC2=C(C1)C(C)=C(C3=CC=C(C)C=C3)C(C(OC(C)(C)C)C(O)=O)=C2C)C4CCCCC4,45
CC1=C2CN(CC2=C(C)C(C3=CC(F)=C4OCCCC4=C3C)=C1C(OC(C)(C)C)C(O)=O)C(=O)N5CCC(F)(F)C5,5
CC1=C2CN(CC2=C(C)C(C3=CC(F)=C4OCCCC4=C3C)=C1C(OC(C)(C)C)C(O)=O)C(=O)N5CCCCC5,3
CC1=C2CN(CC2=C(C)C(C3=CC(F)=C4OCCCC4=C3C)=C1C(OC(C)(C)C)C(O)=O)C(=O)N5CCCC(F)(F)C5,2
